# Franchise names by date, for MLB.
#
# Generated by scripts/names.mjs from Retrosheet's CurrentNames.csv.
# Source: https://www.retrosheet.org/CurrentNames.csv
#
# Unlike data/reference/nfl-divisions.csv, these dates ARE real eras: a
# game on 1969-06-01 was played by the Seattle Pilots, and that is what
# this file says. Football has no equivalent, which is why NFL names
# resolve to the current franchise name regardless of date.
#
# An empty `to` means the name is current.
#
# The information used here was obtained free of charge from and is
# copyrighted by Retrosheet. Interested parties may contact Retrosheet at
# https://www.retrosheet.org.
code,name,from,to,current
BLA,Baltimore Orioles,1901-04-26,1902-09-29,NYA
NYA,New York Highlanders,1903-04-22,1912-10-05,NYA
NYA,New York Yankees,1913-04-10,,NYA
NYN,New York Mets,1962-04-11,,NYN
PHA,Philadelphia Athletics,1901-04-26,1954-09-26,OAK
KC1,Kansas City Athletics,1955-04-12,1967-04-11,OAK
OAK,Oakland Athletics,1968-04-10,2024-09-29,OAK
ATH,Sacramento Athletics,2025-03-27,,OAK
PHI,Philadelphia Quakers,1883-05-01,1889-10-05,PHI
PHI,Philadelphia Phillies,1890-04-19,1942-09-27,PHI
PHI,Philadelphia Blue Jays,1943-04-24,1944-10-01,PHI
PHI,Philadelphia Phillies,1945-04-17,,PHI
PT1,Allegheny Club (none),1882-05-02,1884-10-15,PIT
PT1,Pittsburgh Alleghenys,1885-04-18,1886-10-12,PIT
PIT,Pittsburgh Alleghenys,1887-04-30,1890-10-03,PIT
PIT,Pittsburgh Pirates,1891-04-22,,PIT
SDN,San Diego Padres,1969-04-08,,SDN
SEA,Seattle Mariners,1977-04-06,,SEA
NY1,New York Gothams,1883-05-01,1884-10-14,SFN
NY1,New York Giants,1885-05-02,1957-09-29,SFN
SFN,San Francisco Giants,1958-04-15,,SFN
SLN,St. Louis Browns,1882-05-02,1898-10-09,SLN
SLN,St. Louis Perfectos,1899-04-15,1899-10-15,SLN
SLN,St. Louis Cardinals,1900-04-19,,SLN
TBA,Tampa Bay Devil Rays,1998-03-31,2007-09-30,TBA
TBA,Tampa Bay Rays,2008-03-31,,TBA
WS2,Washington Senators,1961-04-10,1971-09-30,TEX
TEX,Texas Rangers,1972-04-15,,TEX
TOR,Toronto Blue Jays,1977-04-07,,TOR
MON,Montreal Expos,1969-04-08,2004-10-03,WAS
WAS,Washington Nationals,2005-04-04,,WAS
